iyear,imonth,iday,country_txt,provstate,city,latitude,longitude,location,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,gname,gtype,grace,weaptype1,weaptype1_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ransom,ransomamt
1995,6,10,United States,Utah,Salt Lake City,40.733502,-111.89398,"at Majestic Meats at 115 W. 1700 South in Salt Lake City, UT",1,0,7,Facility/Infrastructure Attack,1,Business,7,Retail/Grocery/Bakery,Majestic Meats,"Majestic Meats store in Salt Lake City, UT",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,molotov cocktail and rocks,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,,0,
1995,6,15,United States,Utah,Murray,40.656914,-111.888363,"at Tandy Leather building at 5138 South State Street in Murray, Utah",1,0,7,Facility/Infrastructure Attack,1,Business,7,Retail/Grocery/Bakery,Tandy Leather Store,"Tandy Leather building in Murray, Utah",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,molotov cocktail and spray paint; bricks thrown through windows,0,0,0,0,0,0,1,3,Minor (likely < $1 million),300000,,0,
1995,12,24,United States,Oregon,Eugene,44.04992,-123.088544,The incident occurred on Grant Street.,1,0,7,Facility/Infrastructure Attack,1,Business,7,Retail/Grocery/Bakery,Dutch Girl Dairy,"three ice cream trucks belonging to Dutch Girl Dairy in Eugene, OR",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,"incendiary devices were two one-liter plastic bottles filled with a flammable liquid and a timing device, consisting of paper matches wrapped around an incense stick which was placed into a fuel-soaked kitchen sponge",0,0,0,0,0,0,1,3,Minor (likely < $1 million),15000,damaged two ice cream trucks,0,
1996,8,16,United States,Utah,West Jordan,40.60675,-111.938754,The incident occurred at a McDonald's nearing completion of construction at 1250 W and 9000 S.,1,0,7,Facility/Infrastructure Attack,1,Business,2,Restaurant/Bar/CafŽ,McDonald's fast food restaurants,"McDonald's fast food restaurant in West Jordan, UT",217,United States,Animal Rights extremists,Ecoterror,NA,8,Incendiary,molotov cocktail and gasoline poured on the building,0,0,0,0,0,0,1,3,Minor (likely < $1 million),240000,building burned down and completely destroyed,0,
1996,8,31,United States,Tennessee,Piperton,35.04819,-89.620111,"at RusDun Farms Inc. in Piperton, Tennessee",1,0,7,Facility/Infrastructure Attack,1,Business,9,Farm/Ranch,RusDun Farms Inc.,"egg farm in Piperton, TN",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,4,Unknown,,one truck damaged,0,
1996,10,28,United States,Oregon,Detroit,44.73573,-122.150849,"at the Detroit Ranger Station in Williamette National Forest in Detroit, OR",1,0,7,Facility/Infrastructure Attack,2,Government (General),21,Government Building/Facility/Office,"United States Forest Service, Detroit Ranger Station",building and trucks of the US Forest Service Detroit Ranger Station in Oregon,217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,two incendiary devices lit with incense sticks,0,0,0,0,0,0,1,3,Minor (likely < $1 million),21500,damage to office building and trucks,0,
1996,10,30,United States,Oregon,Oakridge,43.747695,-122.456799,"at the US Forest Service Oakridge Ranger Station in Williamette National Forest in Oakridge, Oregon",1,0,7,Facility/Infrastructure Attack,2,Government (General),18,"Government Personnel (excluding police, military)","United States Forest Service, Oakridge Ranger Station","US Forest Service Oakridge Ranger Station in Oakridge, Oregon",217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,incendiaries consisting of fuel in jugs and ignited,0,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),5000000,"over $5,000,000 in damages to the building, its contents and lost research material",0,
1996,11,12,United States,Minnesota,Bloomington,44.820491,-93.306364,Normandale Boulevard,1,0,7,Facility/Infrastructure Attack,1,Business,5,Industrial/Textiles/Factory,Alaskan Fur Company Inc.,"Alaskan Fur Company Inc. near Bloomington, MN",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,incendiary thrown through window,0,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),2250000,"estimated $2 million in damage to fur coats and other merchandise, and about $250,000 in structural property damage to the building",0,
1997,3,11,United States,Utah,Sandy,40.564938,-111.839048,"at the Fur Breeders Agricultural Cooperative at 8700 South 700 West in Sandy, UT",1,0,3,Bombing/Explosion,1,Business,9,Farm/Ranch,Fur Breeders Agricultural Cooperative,"building and trucks of the Fur Breeders Agricultural Cooperative in Sandy, UT",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,6,Explosives/Bombs/Dynamite,"six pipe bombs, some consisting of nails, and time fuses",0,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),1000000,structural damage to building and extensive damage to company trucks,0,
1997,3,18,United States,California,Davis,38.538232,-121.761712,"at the Center for Comparative Medicine at the University of California, Davis",1,0,7,Facility/Infrastructure Attack,8,Educational Institution,49,School/University/Educational Building,"University of California, Davis","Center for Comparative Medicine in the process of construction at the University of California, Davis",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),1000,,0,
1997,3,18,United States,Utah,Ogden,41.222365,-111.970459,,0,0,7,Facility/Infrastructure Attack,1,Business,5,Industrial/Textiles/Factory,Montgomery Fur Company,"Montgomery Fur Company in Ogden, UT",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,25 gallons of gasoline poured around perimeter of building,0,0,0,0,0,0,0,,,,,0,
1997,7,21,United States,Oregon,Redmond,44.272591,-121.169856,The incident occurred at 1607 SE Railroad Blvd.,1,0,7,Facility/Infrastructure Attack,1,Business,5,Industrial/Textiles/Factory,Cavel West horse meat packing plant,"Cavel West horse meat packing plant in Redmond, OR",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,"ignitable liquid poured into drilled holes behind refrigeration units at the plant and three incendiary devices composed of a mixture of soap, gasoline and diesel fuel, blended into a gel",0,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),1211388,"burned meat packing facility to the ground, rendering it incapable of operation",0,
1997,11,30,United States,Oregon,Burns,43.58604,-119.054654,,1,0,7,Facility/Infrastructure Attack,2,Government (General),21,Government Building/Facility/Office,Bureau of Land Management,"Bureau of Land Management, Wild Horse Corrals near Burns, OR",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,incendiaries,0,0,0,0,0,0,1,3,Minor (likely < $1 million),193098,"released 500 horses from corrals and caused $120,987.61 in damages to the equipment and $72,110.69 to the building",0,
1998,2,23,United States,New York,Rochester,43.233838,-77.571695,"at the Durand-Eastman Park in Rochester, NY",1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,79,"Public Area (garden, parking lot, garage, beach, public building, camp)",Durand-Eastman Park,"Durand-Eastman Park in Rochester, NY",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,7,Fake Weapons,"fake bombs, which appeared to be metal, about 2 inches in diameter and about 18 to 24 inches long",0,0,0,0,0,0,0,,,,,0,
1998,5,4,United States,Florida,Wimauma,27.713726,-82.29624,"at the Florida Veal Processors Inc., at 6712 State Road 674 in Wimauma, FL",1,0,7,Facility/Infrastructure Attack,1,Business,5,Industrial/Textiles/Factory,Florida Veal Processors Inc.,"veal processing plant in Wimauma, Florida",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,arson and spray-painted ALF initials,0,0,0,0,0,0,1,3,Minor (likely < $1 million),500000,"arson in two places of building, causing damage in the amount of $500,000",0,
1998,6,21,United States,Washington,Olympia,47.039225,-122.891429,"at the U.S.D.A. Animal Plant Health Inspection Service (APHIS), which was housed in the Forest Land Management Center at 9701 Blomberg Street SW, Olympia, Washington",1,0,7,Facility/Infrastructure Attack,2,Government (General),18,"Government Personnel (excluding police, military)",US Department of Agriculture,"Animal Plant Health Inspection Service (APHIS, US Department of Agriculture",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,Six five-gallon buckets of fuel ignited with fire-starters and lit fuel soaked sponges,0,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),1200000,,0,
1998,6,21,United States,Washington,Olympia,47.039225,-122.891429,"at the U.S.D.A Animal Damage Control (ADC) facility at 720 Oleary Street Northwest in Olympia, Washington",1,0,7,Facility/Infrastructure Attack,2,Government (General),21,Government Building/Facility/Office,US Department of Agriculture,Animal Damage Control (ADC) facility,217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,"two incendiary devices composed of two five-gallon plastic buckets filled with a mixture of gasoline, heavy petroleum distillate and detergent, as well as delayed igniters in which an alarm clock functioned to complete an electric circuit between a 9- volt battery and a lamp filament, which heated up and ignited matches",0,0,0,0,0,0,1,3,Minor (likely < $1 million),500000,,0,
1998,7,16,United States,New Jersey,Paramus,40.944407,-74.070626,,1,0,7,Facility/Infrastructure Attack,1,Business,7,Retail/Grocery/Bakery,Steve Corn Furs,A van owned by Steve Corn Furs,217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,One van was damaged in the attack.,,
1998,9,21,United States,California,Arcata,40.86743,-124.085154,"at Redwood Coast Trucking Company at 2210 Peninsula Drive in Arcata, California",1,0,7,Facility/Infrastructure Attack,1,Business,,,Redwood Coast Trucking Company,"trucking and logging company in Arcata, California",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,"the incendiaries were composed of fuel poured from large containers into 11 one-gallon plastic milk jugs and three timing devices, consisting of wooden matches wrapped around an incense stick and held in place by a rubber band, and then placed  into a single sponge soaked with fuel; the sponge was then placed in the handle of the one-gallon plastic milk jugs",0,0,0,0,0,0,1,3,Minor (likely < $1 million),40000,destroyed truck completely,0,
1998,9,21,United States,California,Arcata,40.86743,-124.085154,"at Wayne Bare Trucking Company at 5550 West End Road in Arcata, California",0,0,7,Facility/Infrastructure Attack,1,Business,,,Wayne Bare Trucking Company,"trucking company in Arcata, California",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,"an incendiary device consisting of a one-gallon plastic milk jug filled with fuel, and a timing device consisting of wooden matches wrapped around an incense stick, placed in the handle",0,0,0,0,0,0,0,,,,,0,
1998,10,11,United States,Wyoming,Rock Springs,41.58616,-109.222772,,0,0,7,Facility/Infrastructure Attack,2,Government (General),21,Government Building/Facility/Office,Bureau of Land Management,"Bureau of Land Management, Wild Horse Corrals in Rock Springs, WY",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,incendiary devices made of fuel soaked sponges and timing devices,0,0,0,0,0,0,0,,,,BLM incurred $2426 in loss due to the cost of aviation expenses to retrieve the freed horses,0,
1998,10,19,United States,Colorado,Vail,39.640261,-106.374272,"at the Vail Mountain Ski Resort outside of Vail, CO",1,0,7,Facility/Infrastructure Attack,1,Business,8,Hotel/Resort,Vail Ski Resort,buildings and ski lifts at the Vail Ski Resort,217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,ignited gas cans and buckets of fuel,0,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),24000000,"eight structures destroyed including 4 ski lifts, a restaurant, an office and radio towers",0,
1998,12,26,United States,Oregon,Medford,42.357411,-122.861072,"at the U.S. Forest Industries office at 2611 Whittle Ave in Medford, OR",1,0,7,Facility/Infrastructure Attack,2,Government (General),21,Government Building/Facility/Office,U.S. Forest Industries,"U.S. Forest Industries headquarters office in Medford, OR",217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,two five-gallon buckets of diesel/unleaded mix and a one gallon jug with cigarette delays,0,0,0,0,0,0,1,3,Minor (likely < $1 million),990220,,0,
1999,3,27,United States,New Jersey,Franklin,40.510833,-74.573423,,1,0,7,Facility/Infrastructure Attack,1,Business,11,Entertainment/Cultural/Stadium/Casino,Big Apple Circus,"circus vehicles belonging to Big Apple Circus, on tour at the Colonial Park in Franklin Township, NJ",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,gallon containers filled with gasoline and topped with candles,0,0,0,0,0,0,1,3,Minor (likely < $1 million),70000,two trucks destroyed and another vehicle damaged,0,
1999,5,9,United States,Oregon,Eugene,44.04992,-123.088544,The incident occurred at 29476 Airport Road.,1,0,7,Facility/Infrastructure Attack,1,Business,5,Industrial/Textiles/Factory,Childers Meat Company,"meat company in Eugene, OR",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,"four containers of a diesel and gasoline mixture, placed at two locations in the office, ignited via timed ignition devices.",0,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),1177000,building destroyed,0,
1999,8,7,United States,Michigan,Escanaba,45.74564,-87.079759,"at residence in Escanaba, Michigan",1,0,7,Facility/Infrastructure Attack,11,Maritime,57,Civilian Maritime,"James Boydston, retired veterinarian and former mink raiser","two fishing boats of James Boydston, retired veterinarian and former mink raiser",217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,one fishing boat destroyed and another heavily damaged,0,
1999,8,11,United States,Wisconsin,Plymouth,43.748829,-87.977206,Near Plymouth,1,0,7,Facility/Infrastructure Attack,1,Business,5,Industrial/Textiles/Factory,United Feeds,"A United Feeds mill near Plymouth, Wisconsin",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),1500000,The feed mill was destroyed.,,
1999,8,21,United States,Massachusetts,Northborough,42.310129,-71.655451,,1,0,8,Unarmed Assault,14,Private Citizens & Property,77,Laborer (General)/Occupation Identified,Civilian,"A man believed to be an animal researcher in Northboro, Massachusetts",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,9,Melee,Rocks were used in this attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),250,A mailbox and car window were damaged in the attack.,,
1999,10,22,United States,Rhode Island,Warwick,41.700101,-71.416167,"at the Harris Furs store at 621 Bald Hill Rd., in Warwick, RI",1,0,7,Facility/Infrastructure Attack,1,Business,7,Retail/Grocery/Bakery,William Harris Furs,"fur store in Warwick, RI",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,one company van destroyed and three others damaged,0,
1999,11,1,United States,Washington,Seattle,47.60356,-122.329439,,1,0,7,Facility/Infrastructure Attack,1,Business,7,Retail/Grocery/Bakery,Gap,"Gap clothing store in Seattle, WA",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,incendiaries,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,little damage,0,
1999,12,20,United States,California,Santa Rosa,38.437731,-122.712427,,0,0,7,Facility/Infrastructure Attack,1,Business,5,Industrial/Textiles/Factory,"Fulton Processors, Inc.","chicken processing plant, owned by Simon De La Cruz, in Fulton, CA",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,four devices using broken light bulbs attached to batteries and plastic bottles filled with flammable liquid; paper covered in flammable liquid; lined the walls of the wood-framed structure with cardboard.,0,0,0,0,0,0,0,,,,,0,
1999,12,25,United States,Oregon,Monmouth,44.846329,-123.229326,at Boise Cascade wood products company at 450 N. Pacific Highway,1,0,7,Facility/Infrastructure Attack,1,Business,,,Boise Cascade,"wood products company in Monmouth, OR",217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,"buckets of fuel, placed in black garbage bags and then in large boxes wrapped in Christmas paper to further conceal them",0,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),1689593,building destroyed,0,
1999,12,30,United States,Oregon,Bend,43.832571,-121.257501,"at the Bonneville Power Administration power line tower located about 37 miles southeast of Bend, OR",1,0,7,Facility/Infrastructure Attack,21,Utilities,107,Electricity,Bonneville Power Administration,80-foot electrical transmission tower owned by Bonneville Power Administration,217,United States,Earth Liberation Front (ELF),Ecoterror,NA,11,Sabotage Equipment,wrenches,0,0,0,0,0,0,1,3,Minor (likely < $1 million),126000,"tower toppled, loss to company due to cost of repairs",0,
1999,12,31,United States,Michigan,East Lansing,42.7375,-84.483779,,1,0,7,Facility/Infrastructure Attack,8,Educational Institution,49,School/University/Educational Building,Michigan State University,A genetic engineering research project at Michigan State University,217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,A researcher on the project lost her materials relating to the project.,,
2000,1,1,United States,Michigan,Mesick,44.405705,-85.714454,"at Michigan 115 Highway near Mesick, MI",1,0,7,Facility/Infrastructure Attack,1,Business,5,Industrial/Textiles/Factory,commercial logging equipment,"commercial logging equipment on the side of M-115 Highway near Mesick, MI",217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,"gasoline, charcoal and matches used to set the fire",0,0,0,0,0,0,1,3,Minor (likely < $1 million),18000,,0,
2000,1,3,United States,California,Petaluma,38.232471,-122.644448,,1,0,7,Facility/Infrastructure Attack,1,Business,,,Rancho Veal Corporation,"Racho Veal office storage facilities and trucks in Petaluma, California",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,Diesel fuel was used to start the fires.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),250000,"Offices, storage facilities, and trucks were burned in the attack.",,
2000,1,15,United States,California,Petaluma,38.232471,-122.644448,"at Petaluma Farms in Petaluma, California",1,0,7,Facility/Infrastructure Attack,1,Business,9,Farm/Ranch,Petaluma Farms,"chicken farm in Petaluma, CA",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,more than six incendiary devices,0,0,0,0,0,0,1,3,Minor (likely < $1 million),20000,two trucks destroyed,0,
2000,1,20,United States,Indiana,Bloomington,39.16659,-86.534244,,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,76,House/Apartment/Residence,A Luxury Home,"An unfinished luxury home in Bloomington, Indiana",217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),200000,,,
2000,1,24,United States,California,Redwood City,37.484175,-122.227102,"at Primate Products, Inc. in Redwood City, CA",0,0,7,Facility/Infrastructure Attack,1,Business,,,"Primate Products, Inc.","a company which makes cages and other animal research equipment for primates in Redwood City, CA",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,0,,,,,0,
2000,2,25,United States,California,Fremont,37.548148,-121.988566,,1,0,7,Facility/Infrastructure Attack,1,Business,,,B&K Universal,"a firm, which breeds laboratory animals for research in Fremont, CA",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,four incendiary devices,0,0,0,0,0,0,1,4,Unknown,,trucks destroyed,0,
2000,3,12,United States,Wisconsin,Viroqua,43.557135,-90.888714,,1,0,7,Facility/Infrastructure Attack,1,Business,5,Industrial/Textiles/Factory,Kickapoo Fur Foods,"The Kickapoo Fur Foods facility in Viroqua, Wisconsin",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,Multiple timed incendiary devices were used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,,
2000,4,9,United States,Arizona,Phoenix,33.44826,-112.075774,,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,76,House/Apartment/Residence,private luxury residence under construction,"private home of Mario and Melanie Lio, which was under construction in the Phoenix mountain preserve area in AZ",217,United States,Coalition to Save the Preserves (CSP),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,4,Unknown,,"collectively, all eight arsons caused an estimated $5 million in damages",0,
2000,5,7,United States,Washington,Olympia,47.039225,-122.891429,,1,0,7,Facility/Infrastructure Attack,1,Business,5,Industrial/Textiles/Factory,Holbrooke. Inc.,"Headquarters building of Holbrooke Inc. in Olympia, Washington",217,United States,Revenge of the Trees,Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),150000,The fire damaged a building.,,
2000,5,27,United States,Oregon,Eugene,44.04992,-123.088544,"at Tyree Oil Company on Blair Road in Eugene, OR",0,0,7,Facility/Infrastructure Attack,1,Business,1,Gas/Oil,Tyree Oil Inc.,"Tyree Oil trucks in Eugene, OR",217,United States,Environmentalists,Ecoterror,NA,8,Incendiary,"cloth, which was draped over a gallon milk jug filled with a fuel and soap mixture, placed in the fuel tank of a double-trailer fuel truck; crude delay devices used to try to ignite that jug and another one also rigged to the vehicle",0,0,0,0,0,0,0,,,,,0,
2000,6,16,United States,Oregon,Eugene,44.04992,-123.088544,On Franklin Boulevard,1,0,3,Bombing/Explosion,1,Business,7,Retail/Grocery/Bakery,Joe Romania Chevrolet,"trucks at Chevrolet dealership in Eugene, OR",217,United States,Environmentalists,Ecoterror,NA,6,Explosives/Bombs/Dynamite,bombs suspected as cause of arson,0,0,0,0,0,0,1,3,Minor (likely < $1 million),40000,three pickup trucks destroyed,0,
2000,7,2,United States,Indiana,North Vernon,39.01737,-85.760763,"at Rose Acre Farms Inc. in North Vernon, Indiana",1,0,7,Facility/Infrastructure Attack,1,Business,9,Farm/Ranch,Rose Acre Farms Inc.,"truck and trailer at Rose Acre Farms, Inc. in North Vernon, Indiana",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),100000,truck and trailer destroyed by arson,0,
2000,9,6,United States,Oregon,Eugene,44.045558,-123.080222,"at the West University Public Safety Substation at 791 East 13th Avenue in Eugene, OR",1,0,7,Facility/Infrastructure Attack,3,Police,22,"Police Building (headquarters, station, school)",Eugene Police Department,West University Public Safety Substation of the Eugene Police Department,217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),1750,damage to windows and nearby vehicle,0,
2000,9,9,United States,Indiana,Bloomington,39.16659,-86.534244,,1,0,7,Facility/Infrastructure Attack,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Republican Party,Munroe County Republican Party Headquarters,217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,An accelerant was apparently splashed on a corner of the building.,,
2000,10,20,United States,Arizona,Phoenix,33.44826,-112.075774,,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,76,House/Apartment/Residence,private luxury residence under construction,"private home of Mario and Melanie Lio, which was under construction in the Phoenix mountain preserve area in AZ",217,United States,Coalition to Save the Preserves (CSP),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,4,Unknown,,"collectively, all eight arsons caused an estimated $5 million in damages",0,
2000,11,27,United States,Colorado,Niwot,40.103955,-105.172429,,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,76,House/Apartment/Residence,Civilians,Legend Ridge mansion,217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),2500000,,,
2000,12,9,United States,New York,Middle Island,40.883456,-72.940741,"at the Birchwood at Spring Lake condominium under construction in Middle Island, NY",1,0,7,Facility/Infrastructure Attack,1,Business,12,Construction,Birchwood at Spring Lake condominiums,"individual homes under construction in the Birchwood at Spring Lake condominiums in Miller Island, NY",217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,milk-type containers filled with gasoline and topped with gasoline-soaked sponges and incense sticks,0,0,0,0,0,0,1,3,Minor (likely < $1 million),200000,destroyed homes,0,
2000,12,10,United States,Arizona,Phoenix,33.44826,-112.075774,,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,76,House/Apartment/Residence,private residence,private home in the Phoenix mountain preserve area in AZ,217,United States,Coalition to Save the Preserves (CSP),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,4,Unknown,,"collectively, all eight arsons caused an estimated $5 million in damages",0,
2000,12,14,United States,Arizona,Phoenix,33.44826,-112.075774,,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,76,House/Apartment/Residence,private residence,private home in the Phoenix mountain preserve area in AZ,217,United States,Coalition to Save the Preserves (CSP),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,4,Unknown,,"collectively, all eight arsons caused an estimated $5 million in damages",0,
2000,12,14,United States,Arizona,Phoenix,33.44826,-112.075774,,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,76,House/Apartment/Residence,private residence,private home in the Phoenix mountain preserve area in AZ,217,United States,Coalition to Save the Preserves (CSP),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,4,Unknown,,"collectively, all eight arsons caused an estimated $5 million in damages",0,
2000,12,19,United States,New York,Miller Place,40.960042,-72.995514,at luxury home under construction on Sarah Anne Court,1,0,7,Facility/Infrastructure Attack,1,Business,12,Construction,luxury home,"luxury home under construction on Sarah Anne Court in Miller Place, NY",217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,gasoline poured over debris in the corner of the home,0,0,0,0,0,0,1,3,Minor (likely < $1 million),50000,destroyed homes,0,
2000,12,20,United States,Arizona,Phoenix,33.44826,-112.075774,,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,76,House/Apartment/Residence,private residence,private home in the Phoenix mountain preserve area in AZ,217,United States,Coalition to Save the Preserves (CSP),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,4,Unknown,,"collectively, all eight arsons caused an estimated $5 million in damages",0,
2000,12,30,United States,New York,Mount Sinai,40.946995,-73.021319,,1,0,7,Facility/Infrastructure Attack,1,Business,12,Construction,luxury homes,"three luxury homes under construction in the Island Estates Development in Mount Sinai, NY",217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,"plastic water bottles filled with gasoline, topped with gasoline-soaked sponges, to start the blazes",0,0,0,0,0,0,1,3,Minor (likely < $1 million),90000,destroyed homes,0,
2001,1,2,United States,Oregon,Glendale,42.738006,-123.417103,"at the Superior Lumber Company at 2695 Glendale Valley Road in Glendale, OR",1,0,7,Facility/Infrastructure Attack,1,Business,5,Industrial/Textiles/Factory,Superior Lumber Company,"lumber company in Glendale, OR",217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,"timed incendiary devices, made of two five-gallon plastic containers filled with diesel fuel",0,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),1041696,,0,
2001,1,13,United States,New York,Miller Place,40.960042,-72.995514,,1,0,7,Facility/Infrastructure Attack,1,Business,12,Construction,Melo's Construction Company,Melo's Construction Company offices in Long Island,217,United States,Earth Liberation Front (ELF),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),8000,The group set fire to a pay loader and a dump truck.,,
2001,1,18,United States,Arizona,Scottsdale,33.494,-111.920694,,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,76,House/Apartment/Residence,private residence,"private home in Scottsdale, in the  McDowell Sonoran Preserve area in AZ",217,United States,Coalition to Save the Preserves (CSP),Ecoterror,NA,8,Incendiary,,0,0,0,0,0,0,1,4,Unknown,,"collectively, all eight arsons caused an estimated $5 million in damages",0,
2001,1,23,United States,California,Capitola,36.974796,-121.953457,"outside Capitola City Hall, in Capitola, CA",0,0,7,Facility/Infrastructure Attack,2,Government (General),21,Government Building/Facility/Office,Capitola City Hall,"Capitola City Hall of Capitola, CA",217,United States,Animal Liberation Front (ALF),Ecoterror,NA,8,Incendiary,"18 Magic Re-Light candles, 11 plastic one-gallon containers and enough gasoline to fill all 11 containers to be used to make incendiary devices",0,0,0,0,0,0,0,,,,,0,
